"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 28 15:58:16 CEST 2022","Tue Jun 28 15:58:54 CEST 2022","38122","Suite1","Regression basic coverage","Mobile_Test.RegressionTest","Mobile_Test.RegressionTest","ClearTableTest","ClearTableTest","Test Description: Clear table if the bill is not zero."
"passed","Tue Jun 28 16:00:22 CEST 2022","Tue Jun 28 16:01:05 CEST 2022","43120","Suite1","Regression basic coverage","Mobile_Test.RegressionTest","Mobile_Test.RegressionTest","GridViewOrderTest","GridViewOrderTest","Test Description: Grid view of category and food list order and add to table."
"passed","Tue Jun 28 16:01:57 CEST 2022","Tue Jun 28 16:03:03 CEST 2022","65929","Suite1","Regression basic coverage","Mobile_Test.RegressionTest","Mobile_Test.RegressionTest","SendToKDSTest","SendToKDSTest","Test Description: Send to KDS status test."
"passed","Tue Jun 28 15:59:50 CEST 2022","Tue Jun 28 16:00:22 CEST 2022","31890","Suite1","Regression basic coverage","Mobile_Test.RegressionTest","Mobile_Test.RegressionTest","ListViewOrderAndBackTest","ListViewOrderAndBackTest","Test Description: List view of category and food list order without add to table."
"passed","Tue Jun 28 16:04:56 CEST 2022","Tue Jun 28 16:05:17 CEST 2022","20806","Suite1","Regression basic coverage","Mobile_Test.RegressionTest","Mobile_Test.RegressionTest","PrintSendToKDSTest","PrintSendToKDSTest","Test Description: Print Send to KDS status test."
"passed","Tue Jun 28 16:03:03 CEST 2022","Tue Jun 28 16:03:30 CEST 2022","26584","Suite1","Regression basic coverage","Mobile_Test.RegressionTest","Mobile_Test.RegressionTest","PrinterTest","PrinterTest","Test Description: Print with empty list and food list."
"passed","Tue Jun 28 16:05:17 CEST 2022","Tue Jun 28 16:05:21 CEST 2022","3402","Suite1","Regression basic coverage","Mobile_Test.RegressionTest","Mobile_Test.RegressionTest","SettingsLogoutMasterUser","SettingsLogoutMasterUser","Test Description: Logout master user."
"passed","Tue Jun 28 15:57:52 CEST 2022","Tue Jun 28 15:58:15 CEST 2022","23106","Suite1","Regression basic coverage","Mobile_Test.RegressionTest","Mobile_Test.RegressionTest","LoginTestQA","LoginTestQA","Test Description: Login test with QA username and password."
"passed","Tue Jun 28 16:03:58 CEST 2022","Tue Jun 28 16:04:56 CEST 2022","58059","Suite1","Regression basic coverage","Mobile_Test.RegressionTest","Mobile_Test.RegressionTest","DiscountTest","DiscountTest","Test Description: Discount from the table bill."
"passed","Tue Jun 28 15:58:54 CEST 2022","Tue Jun 28 15:59:06 CEST 2022","12495","Suite1","Regression basic coverage","Mobile_Test.RegressionTest","Mobile_Test.RegressionTest","ProductsListViewTest","ProductsListViewTest","Test Description: Get the list view of category and food list."
"passed","Tue Jun 28 16:03:30 CEST 2022","Tue Jun 28 16:03:58 CEST 2022","28586","Suite1","Regression basic coverage","Mobile_Test.RegressionTest","Mobile_Test.RegressionTest","ReturnTest","ReturnTest","Test Description: Return food from the table."
"passed","Tue Jun 28 15:59:18 CEST 2022","Tue Jun 28 15:59:50 CEST 2022","31548","Suite1","Regression basic coverage","Mobile_Test.RegressionTest","Mobile_Test.RegressionTest","GridViewOrderAndBackTest","GridViewOrderAndBackTest","Test Description: Grid view of category and food list order without add to table."
"passed","Tue Jun 28 15:59:06 CEST 2022","Tue Jun 28 15:59:18 CEST 2022","11999","Suite1","Regression basic coverage","Mobile_Test.RegressionTest","Mobile_Test.RegressionTest","ProductsGridViewTest","ProductsGridViewTest","Test Description: Get the grid view of category and food list."
"passed","Tue Jun 28 16:01:05 CEST 2022","Tue Jun 28 16:01:57 CEST 2022","52486","Suite1","Regression basic coverage","Mobile_Test.RegressionTest","Mobile_Test.RegressionTest","ListViewOrderTest","ListViewOrderTest","Test Description: List view of category and food list order and add to table."
